breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,-39.0,-39.0,-14.5,0.0003217290542526913,3.4618759543502986e-06
pbli,90,-37.0,-39.0,-14.5,0.00036178293504674094,3.315597894557582e-06
pbli,90,-35.0,-39.0,-14.5,0.000396805071101221,3.690225015757776e-06
pbli,90,-33.0,-39.0,-14.5,0.0004230298785768967,3.6894238889573637e-06
pbli,90,-31.0,-39.0,-14.5,0.00044339852673041044,3.4223115118345894e-06
pbli,90,-29.0,-39.0,-14.5,0.0004618910914396445,4.05731601299415e-06
pbli,90,-27.0,-39.0,-14.5,0.0004674896323440897,3.984794408438633e-06
pbli,90,-25.0,-39.0,-14.5,0.0004763863211374484,3.92467813891734e-06
pbli,90,-23.0,-39.0,-14.5,0.0004887884509330753,3.290423468557973e-06
pbli,90,-21.0,-39.0,-14.5,0.0004965844323342943,3.865245801466542e-06
pbli,90,-19.0,-39.0,-14.5,0.0005055427723724052,3.504120416710738e-06
pbli,90,-17.0,-39.0,-14.5,0.0005094178194484632,3.6847402187255016e-06
pbli,90,-15.0,-39.0,-14.5,0.0005211890881005431,4.0295861667530245e-06
pbli,90,-13.0,-39.0,-14.5,0.0005221641151761638,3.8034757282077472e-06
pbli,90,-11.0,-39.0,-14.5,0.0005252032752351539,3.905733161733526e-06
pbli,90,-9.0,-39.0,-14.5,0.0005370319188979034,3.931208204665739e-06
pbli,90,-7.0,-39.0,-14.5,0.0005365364110587137,4.038730126839396e-06
pbli,90,-5.0,-39.0,-14.5,0.0005335366731616632,3.1436780761861636e-06
pbli,90,-3.0,-39.0,-14.5,0.0005379141135563111,3.9226593658409864e-06
pbli,90,-1.0,-39.0,-14.5,0.0005352086690739143,4.05181487432527e-06
pbli,90,1.0,-39.0,-14.5,0.0005314949341674627,3.8452894753828245e-06
pbli,90,3.0,-39.0,-14.5,0.0005350959481230718,4.484832403414965e-06
pbli,90,5.0,-39.0,-14.5,0.0005353053925748273,3.6848668148745947e-06
pbli,90,7.0,-39.0,-14.5,0.0005321747222279175,4.095270230984594e-06
pbli,90,9.0,-39.0,-14.5,0.0005322458222896538,4.157401614920718e-06
pbli,90,11.0,-39.0,-14.5,0.0005284257132268333,3.993213326340997e-06
