breeder,enrichment,x_cm,y_cm,z_cm,tbr,tbr_std_dev
pbli,90,-39.0,-39.0,0.5,1.4240796739414763e-10,2.0535843401040836e-12
pbli,90,-37.0,-39.0,0.5,1.540437650937725e-10,2.041645588651752e-12
pbli,90,-35.0,-39.0,0.5,1.6548996096827988e-10,1.9840105162299994e-12
pbli,90,-33.0,-39.0,0.5,1.7406053585426816e-10,2.0073827057000824e-12
pbli,90,-31.0,-39.0,0.5,1.8690331616989685e-10,2.3324944101265692e-12
pbli,90,-29.0,-39.0,0.5,1.9254841136007748e-10,2.264306277808958e-12
pbli,90,-27.0,-39.0,0.5,1.9880158543382847e-10,2.0356630316339368e-12
pbli,90,-25.0,-39.0,0.5,2.0337351109612126e-10,2.3397978137398296e-12
pbli,90,-23.0,-39.0,0.5,2.0819816837987457e-10,2.1645260056771106e-12
pbli,90,-21.0,-39.0,0.5,2.0842931918915976e-10,2.1168817490558407e-12
pbli,90,-19.0,-39.0,0.5,2.1522020714392455e-10,2.2539963918705536e-12
pbli,90,-17.0,-39.0,0.5,2.1840993669563882e-10,2.13865369106304e-12
pbli,90,-15.0,-39.0,0.5,2.238453186848799e-10,2.3937029002146257e-12
pbli,90,-13.0,-39.0,0.5,2.2054244900557944e-10,2.13432932007611e-12
pbli,90,-11.0,-39.0,0.5,2.254448356409111e-10,2.5941322161900685e-12
pbli,90,-9.0,-39.0,0.5,2.2976125153071667e-10,2.425834820628081e-12
pbli,90,-7.0,-39.0,0.5,2.2820973447897027e-10,2.4500210238533373e-12
pbli,90,-5.0,-39.0,0.5,2.2548531963083278e-10,2.1573466864373843e-12
pbli,90,-3.0,-39.0,0.5,2.215725971636772e-10,2.0865908326209034e-12
pbli,90,-1.0,-39.0,0.5,2.2995683368597109e-10,2.270944676375572e-12
pbli,90,1.0,-39.0,0.5,2.3147312506864812e-10,2.2601013676029507e-12
pbli,90,3.0,-39.0,0.5,2.2675368361781738e-10,2.307597516617559e-12
pbli,90,5.0,-39.0,0.5,2.2843198144737077e-10,2.3524452782259436e-12
pbli,90,7.0,-39.0,0.5,2.2715725914779592e-10,2.692261078605139e-12
pbli,90,9.0,-39.0,0.5,2.260010007317851e-10,2.304997434035579e-12
pbli,90,11.0,-39.0,0.5,2.252194522874904e-10,2.468038094478756e-12
pbli,90,13.0,-39.0,0.5,2.2173410379831047e-10,2.2358256005446314e-12
pbli,90,15.0,-39.0,0.5,2.2118352346453156e-10,2.0522567117531933e-12
pbli,90,17.0,-39.0,0.5,2.2273406902320278e-10,2.5472156078816358e-12
pbli,90,19.0,-39.0,0.5,2.16952402559193e-10,2.3220314187700557e-12
pbli,90,21.0,-39.0,0.5,2.164578881912577e-10,2.409787220722881e-12
pbli,90,23.0,-39.0,0.5,2.0467915921923178e-10,2.337910657616243e-12
pbli,90,25.0,-39.0,0.5,2.049267421718995e-10,2.3288336886844204e-12
pbli,90,27.0,-39.0,0.5,1.973713005452793e-10,2.014971213969846e-12
pbli,90,29.0,-39.0,0.5,1.9235446995078931e-10,2.233668805563426e-12
pbli,90,31.0,-39.0,0.5,1.83840342091355e-10,2.154566273593099e-12
pbli,90,33.0,-39.0,0.5,1.7499486438637446e-10,2.2154281374602607e-12
pbli,90,35.0,-39.0,0.5,1.632898878768417e-10,2.2266009938250866e-12
pbli,90,37.0,-39.0,0.5,1.4987143890270818e-10,1.9253210763412664e-12
pbli,90,39.0,-39.0,0.5,1.3851219878921213e-10,2.02879108686704e-12
pbli,90,-39.0,-37.0,0.5,1.5452446580745007e-10,1.7958995379553247e-12
pbli,90,-37.0,-37.0,0.5,1.6714443498182466e-10,2.3059796590294584e-12
pbli,90,-35.0,-37.0,0.5,1.8134119648666358e-10,2.0566921420836907e-12
pbli,90,-33.0,-37.0,0.5,1.9406007944023227e-10,2.0877808950087178e-12
pbli,90,-31.0,-37.0,0.5,2.0141390047309614e-10,2.2204537546228096e-12
pbli,90,-29.0,-37.0,0.5,2.1097013365692884e-10,2.4665351915207466e-12
pbli,90,-27.0,-37.0,0.5,2.1853423886051035e-10,2.238023192945871e-12
pbli,90,-25.0,-37.0,0.5,2.231281774105643e-10,2.135027788954125e-12
pbli,90,-23.0,-37.0,0.5,2.3037006649710295e-10,2.6043579307432883e-12
pbli,90,-21.0,-37.0,0.5,2.2930163053485353e-10,2.088147027812246e-12
pbli,90,-19.0,-37.0,0.5,2.318939623898942e-10,2.567944440131754e-12
pbli,90,-17.0,-37.0,0.5,2.418099600444362e-10,2.416653667740577e-12
pbli,90,-15.0,-37.0,0.5,2.463941688539096e-10,2.344696846632627e-12
pbli,90,-13.0,-37.0,0.5,2.5002371637854264e-10,2.525826843088378e-12
pbli,90,-11.0,-37.0,0.5,2.4960075814345673e-10,2.4064923680237093e-12
pbli,90,-9.0,-37.0,0.5,2.504778666633045e-10,2.5389046522644496e-12
pbli,90,-7.0,-37.0,0.5,2.5007290071966744e-10,2.1146889982300766e-12
pbli,90,-5.0,-37.0,0.5,2.5469885126343195e-10,2.27805613039531e-12
pbli,90,-3.0,-37.0,0.5,2.520487106127905e-10,2.0978967963060226e-12
pbli,90,-1.0,-37.0,0.5,2.560603325669007e-10,2.4153054512706738e-12
pbli,90,1.0,-37.0,0.5,2.539581583844655e-10,2.4469163855945496e-12
pbli,90,3.0,-37.0,0.5,2.5308193040605214e-10,2.2958522067245905e-12
pbli,90,5.0,-37.0,0.5,2.5321003921871206e-10,2.680457207804551e-12
pbli,90,7.0,-37.0,0.5,2.526257311549877e-10,2.4630686197119054e-12
pbli,90,9.0,-37.0,0.5,2.494126749435382e-10,2.0564427075951106e-12
pbli,90,11.0,-37.0,0.5,2.49357640349286e-10,2.2634033607192144e-12
pbli,90,13.0,-37.0,0.5,2.44412986388278e-10,2.4919756375884546e-12
pbli,90,15.0,-37.0,0.5,2.4894929728250395e-10,2.4039882263872557e-12
pbli,90,17.0,-37.0,0.5,2.3999254635650706e-10,2.231531478526203e-12
pbli,90,19.0,-37.0,0.5,2.3601217602546554e-10,2.2852923741267384e-12
